input_text,target_text
"""公司安排了定期健康检查，上个月第三个星期周日检查这一安排让大家有所准备。 ""","['{\n  ""month"": ""-1"",\n  ""week"": ""3"",\n  ""weekday"": ""7"",\n  ""day"": ""none"",\n  ""term"": ""none""\n}']"
"""因家中突发状况，需在上学期的最后一周请假处理相关事宜。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""-1"",\n  ""weekday"": ""none"",\n  ""day"": ""none"",\n  ""term"": ""-1""\n}']"
"""学校教学安排已定，下学期课程结束后，第十一周进行统一考试。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""11"",\n  ""weekday"": ""none"",\n  ""day"": ""none"",\n  ""term"": ""1""\n}']"
"""临近重要学习检测，同学们都在紧张备考，后天考试。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""2"",\n  ""term"": ""none""\n}']"
"""在学校的学习安排里，迎来上学期的最后一周上课。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""-1"",\n  ""weekday"": ""none"",\n  ""day"": ""none"",\n  ""term"": ""-1""\n}']"
"""身体有些不适去医院，前天检查，结果还没出来心里有点忐忑。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""-2"",\n  ""term"": ""none""\n}']"
"""学校工作安排有序，下学期的最后一周开会，讨论学期总结事宜。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""-1"",\n  ""weekday"": ""none"",\n  ""day"": ""none"",\n  ""term"": ""1""\n}']"
"""项目进度需商讨，团队成员集中交流，明天开会。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""1"",\n  ""term"": ""none""\n}']"
"""领导安排了一项重要任务，今天检查相关工作的落实情况。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""0"",\n  ""term"": ""none""\n}']"
"""因家中突发状况，上个月第二个星期周日请假，望领导批准此次申请。 ""","['{\n  ""month"": ""-1"",\n  ""week"": ""2"",\n  ""weekday"": ""7"",\n  ""day"": ""none"",\n  ""term"": ""none""\n}']"
"""学习许久迎来检验，明天考试，愿你发挥出色取得好成绩。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""1"",\n  ""term"": ""none""\n}']"
"""根据课程安排，学生需在规定的周次里，下个月第一周周一上课。 ""","['{\n  ""month"": ""1"",\n  ""week"": ""1"",\n  ""weekday"": ""1"",\n  ""day"": ""none"",\n  ""term"": ""none""\n}']"
"""近期身体状况不佳，医生安排后天检查，希望一切正常。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""2"",\n  ""term"": ""none""\n}']"
"""课程学习进度需把控，下学期的第十五周检查各项学习成果。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""15"",\n  ""weekday"": ""none"",\n  ""day"": ""none"",\n  ""term"": ""1""\n}']"
"""学校课程安排有变，原本的活动取消，下个月第三个星期星期五上课。 ""","['{\n  ""month"": ""1"",\n  ""week"": ""3"",\n  ""weekday"": ""5"",\n  ""day"": ""none"",\n  ""term"": ""none""\n}']"
"""班级组织了重要科目测验，前天考试，大家都认真作答。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""-2"",\n  ""term"": ""none""\n}']"
"""因家中突发状况需处理，上个月第二个星期星期二请假。 ""","['{\n  ""month"": ""-1"",\n  ""week"": ""2"",\n  ""weekday"": ""2"",\n  ""day"": ""none"",\n  ""term"": ""none""\n}']"
"""因家中有事需处理，我要按流程申请，后天请假。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""2"",\n  ""term"": ""none""\n}']"
"""公司组织安全检查，计划下个月第三个星期星期六进行该项工作。 ""","['{\n  ""month"": ""1"",\n  ""week"": ""3"",\n  ""weekday"": ""6"",\n  ""day"": ""none"",\n  ""term"": ""none""\n}']"
"""学校临时调整课程安排，原本休息的上个月第二个星期周六上课。 ""","['{\n  ""month"": ""-1"",\n  ""week"": ""2"",\n  ""weekday"": ""6"",\n  ""day"": ""none"",\n  ""term"": ""none""\n}']"
"""公司安排了项目进度相关的检查，今天检查。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""0"",\n  ""term"": ""none""\n}']"
"""近期工作安排紧凑，需集中讨论，下个月第二周星期日开会。 ""","['{\n  ""month"": ""1"",\n  ""week"": ""2"",\n  ""weekday"": ""7"",\n  ""day"": ""none"",\n  ""term"": ""none""\n}']"
"""老师通知，咱们参加的这场重要测试，下个月第一周星期五考试。 ""","['{\n  ""month"": ""1"",\n  ""week"": ""1"",\n  ""weekday"": ""5"",\n  ""day"": ""none"",\n  ""term"": ""none""\n}']"
"""本学期课程安排紧凑，老师提醒大家，上学期的第14周考试需好好准备。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""14"",\n  ""weekday"": ""none"",\n  ""day"": ""none"",\n  ""term"": ""-1""\n}']"
"""学校教学安排中，本学期的第15周考试，大家需做好复习准备。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""15"",\n  ""weekday"": ""none"",\n  ""day"": ""none"",\n  ""term"": ""0""\n}']"
"""同学提醒我后天考试，得赶紧复习，真担心考不好。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""2"",\n  ""term"": ""none""\n}']"
"""在一场重要的学业评估中，前天考试，考生们都认真作答。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""-2"",\n  ""term"": ""none""\n}']"
"""公司计划安排下学期的第11周开会，商讨业务拓展相关事宜。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""11"",\n  ""weekday"": ""none"",\n  ""day"": ""none"",\n  ""term"": ""1""\n}']"
"""因家中突发状况需处理，昨天请假，望理解。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""-1"",\n  ""term"": ""none""\n}']"
"""公司安排了重要项目相关事宜，今天检查各项工作落实情况。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""0"",\n  ""term"": ""none""\n}']"
"""医生提醒需做好准备，后天检查各项指标以评估身体状况。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""2"",\n  ""term"": ""none""\n}']"
"""去医院做全面身体检查，昨天检查结果还未完全出来。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""-1"",\n  ""term"": ""none""\n}']"
"""公司近期业务推进需交流，后天开会讨论相关事宜。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""2"",\n  ""term"": ""none""\n}']"
"""在项目收尾阶段，本学期的最后一周开会，商讨后续工作安排。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""-1"",\n  ""weekday"": ""none"",\n  ""day"": ""none"",\n  ""term"": ""0""\n}']"
"""学校课程安排紧凑，学生们紧张备考，上学期的第十二周考试。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""12"",\n  ""weekday"": ""none"",\n  ""day"": ""none"",\n  ""term"": ""-1""\n}']"
"""学校组织了教学常规相关的上学期的第六周检查。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""6"",\n  ""weekday"": ""none"",\n  ""day"": ""none"",\n  ""term"": ""-1""\n}']"
"""学校组织上学期的第一周检查，以了解学生学习与生活状况。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""1"",\n  ""weekday"": ""none"",\n  ""day"": ""none"",\n  ""term"": ""-1""\n}']"
"""学校组织了一场重要测试，上个月第一个星期周天考试，不少同学为此精心准备。 ""","['{\n  ""month"": ""-1"",\n  ""week"": ""1"",\n  ""weekday"": ""7"",\n  ""day"": ""none"",\n  ""term"": ""none""\n}']"
"""在学校的常规管理中，开展了上学期的第六周检查。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""6"",\n  ""weekday"": ""none"",\n  ""day"": ""none"",\n  ""term"": ""-1""\n}']"
"""近期学习安排紧凑，老师通知明天上课，大家提前做好准备。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""1"",\n  ""term"": ""none""\n}']"
"""上级临时通知，明天有重要项目推进情况检查。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""1"",\n  ""term"": ""none""\n}']"
"""公司安排卫生检查，其中上个月第一周周五检查这一安排仍要严格执行。 ""","['{\n  ""month"": ""-1"",\n  ""week"": ""1"",\n  ""weekday"": ""5"",\n  ""day"": ""none"",\n  ""term"": ""none""\n}']"
"""学校教学常规安排，本学期的第三周检查各项工作落实情况。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""3"",\n  ""weekday"": ""none"",\n  ""day"": ""none"",\n  ""term"": ""0""\n}']"
"""上级领导将到单位进行工作情况审查，明天检查。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""1"",\n  ""term"": ""none""\n}']"
"""临近学期结束，同学们在这下学期的最后一周上课，格外珍惜时光。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""-1"",\n  ""weekday"": ""none"",\n  ""day"": ""none"",\n  ""term"": ""1""\n}']"
"""老师通知课程安排，明天上课。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""1"",\n  ""term"": ""none""\n}']"
"""学校公布课程安排，下学期的第九周考试，学生们需提前准备。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""9"",\n  ""weekday"": ""none"",\n  ""day"": ""none"",\n  ""term"": ""1""\n}']"
"""领导通知，各部门准备好相关资料，明天检查。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""1"",\n  ""term"": ""none""\n}']"
"""同学们都在紧张备考，而我，今天考试。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""0"",\n  ""term"": ""none""\n}']"
"""公司业务推进期间，上个月第二个星期星期一开会，探讨项目进展与后续计划。 ""","['{\n  ""month"": ""-1"",\n  ""week"": ""2"",\n  ""weekday"": ""1"",\n  ""day"": ""none"",\n  ""term"": ""none""\n}']"
"""公司安排了重要项目相关的检查，今天检查，大家需做好准备。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""0"",\n  ""term"": ""none""\n}']"
"""公司安排设备状态相关事宜，下个月第一个星期周日检查。 ""","['{\n  ""month"": ""1"",\n  ""week"": ""1"",\n  ""weekday"": ""7"",\n  ""day"": ""none"",\n  ""term"": ""none""\n}']"
"""学校教学安排调整，本月第一周星期六上课，大家提前做好准备。 ""","['{\n  ""month"": ""0"",\n  ""week"": ""1"",\n  ""weekday"": ""6"",\n  ""day"": ""none"",\n  ""term"": ""none""\n}']"
"""公司近期有规范整顿行动，本月第二个星期星期四检查各部门落实情况。 ""","['{\n  ""month"": ""0"",\n  ""week"": ""2"",\n  ""weekday"": ""4"",\n  ""day"": ""none"",\n  ""term"": ""none""\n}']"
"""因项目进展需要，安排上个月第一个星期星期五对相关设备进行全面检查。 ""","['{\n  ""month"": ""-1"",\n  ""week"": ""1"",\n  ""weekday"": ""5"",\n  ""day"": ""none"",\n  ""term"": ""none""\n}']"
"""新学期课程安排确定，上学期的第1周上课，同学们需提前做好准备。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""1"",\n  ""weekday"": ""none"",\n  ""day"": ""none"",\n  ""term"": ""-1""\n}']"
"""学校教学常规工作开展期间，进行了上学期的第4周检查。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""4"",\n  ""weekday"": ""none"",\n  ""day"": ""none"",\n  ""term"": ""-1""\n}']"
"""课程学习进度安排下，下学期的第十二周考试，大家需提前准备。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""12"",\n  ""weekday"": ""none"",\n  ""day"": ""none"",\n  ""term"": ""1""\n}']"
"""在学期教学任务推进中，上学期的第16周开会。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""16"",\n  ""weekday"": ""none"",\n  ""day"": ""none"",\n  ""term"": ""-1""\n}']"
"""去医院进行全面身体状况评估，昨天检查结果还未出来。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""-1"",\n  ""term"": ""none""\n}']"
"""学校组织相关人员开展上学期的第十六周检查工作。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""16"",\n  ""weekday"": ""none"",\n  ""day"": ""none"",\n  ""term"": ""-1""\n}']"
"""课程安排有调整，原本正常的日子里，本月第一周周三上课。 ""","['{\n  ""month"": ""0"",\n  ""week"": ""1"",\n  ""weekday"": ""3"",\n  ""day"": ""none"",\n  ""term"": ""none""\n}']"
"""因家中突发状况需处理，下个月第一周周一请假。 ""","['{\n  ""month"": ""1"",\n  ""week"": ""1"",\n  ""weekday"": ""1"",\n  ""day"": ""none"",\n  ""term"": ""none""\n}']"
"""因家中突发状况需处理，下学期的最后一周请假。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""-1"",\n  ""weekday"": ""none"",\n  ""day"": ""none"",\n  ""term"": ""1""\n}']"
"""公司工作安排常规会议，上个月第二周周三开会，讨论业务进展等事宜。 ""","['{\n  ""month"": ""-1"",\n  ""week"": ""2"",\n  ""weekday"": ""3"",\n  ""day"": ""none"",\n  ""term"": ""none""\n}']"
"""医生通知近期安排了检查，后天检查，记得提前做好准备。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""2"",\n  ""term"": ""none""\n}']"
"""因家中突发状况需处理，上个月第二周星期二请假。 ""","['{\n  ""month"": ""-1"",\n  ""week"": ""2"",\n  ""weekday"": ""2"",\n  ""day"": ""none"",\n  ""term"": ""none""\n}']"
"""公司近期事务繁杂，为统筹安排，前天开会商讨各项工作推进事宜。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""-2"",\n  ""term"": ""none""\n}']"
"""领导通知，此次项目资料要严格审查，明天检查。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""1"",\n  ""term"": ""none""\n}']"
"""因家中突发状况，需在学校上学期的最后一周请假。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""-1"",\n  ""weekday"": ""none"",\n  ""day"": ""none"",\n  ""term"": ""-1""\n}']"
"""项目推进遇难题，为协调进度和方案，本月第二个星期周三开会。 ""","['{\n  ""month"": ""0"",\n  ""week"": ""2"",\n  ""weekday"": ""3"",\n  ""day"": ""none"",\n  ""term"": ""none""\n}']"
"""领导召集各部门，昨天开会商议近期工作安排和重点项目推进。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""-1"",\n  ""term"": ""none""\n}']"
"""因家中突发状况需处理，上个月第二个星期星期三请假。 ""","['{\n  ""month"": ""-1"",\n  ""week"": ""2"",\n  ""weekday"": ""3"",\n  ""day"": ""none"",\n  ""term"": ""none""\n}']"
"""因家中突发状况需处理，下学期的最后一周请假。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""-1"",\n  ""weekday"": ""none"",\n  ""day"": ""none"",\n  ""term"": ""1""\n}']"
"""因家中有事需处理，特提出下个月第三个星期星期一请假。 ""","['{\n  ""month"": ""1"",\n  ""week"": ""3"",\n  ""weekday"": ""1"",\n  ""day"": ""none"",\n  ""term"": ""none""\n}']"
"""因身体不适预约了检查，上个月第二个星期星期一检查，结果还未出。 ""","['{\n  ""month"": ""-1"",\n  ""week"": ""2"",\n  ""weekday"": ""1"",\n  ""day"": ""none"",\n  ""term"": ""none""\n}']"
"""医生建议定期体检，上个月第三个星期星期一检查，结果还未拿到。 ""","['{\n  ""month"": ""-1"",\n  ""week"": ""3"",\n  ""weekday"": ""1"",\n  ""day"": ""none"",\n  ""term"": ""none""\n}']"
"""公司安排设备维护工作，本月第二个星期周日检查，各部门提前做好准备。 ""","['{\n  ""month"": ""0"",\n  ""week"": ""2"",\n  ""weekday"": ""7"",\n  ""day"": ""none"",\n  ""term"": ""none""\n}']"
"""同学很是紧张，毕竟明天考试，希望能取得好成绩。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""1"",\n  ""term"": ""none""\n}']"
"""近期学习状态还不错，信心满满，可明天考试仍需再冲刺复习。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""1"",\n  ""term"": ""none""\n}']"
"""为确保工作合规，相关部门将在本月第三周周天对各区域进行检查。 ""","['{\n  ""month"": ""0"",\n  ""week"": ""3"",\n  ""weekday"": ""7"",\n  ""day"": ""none"",\n  ""term"": ""none""\n}']"
"""公司近期业务调整，为部署新计划，上个月第二周周天开会。 ""","['{\n  ""month"": ""-1"",\n  ""week"": ""2"",\n  ""weekday"": ""7"",\n  ""day"": ""none"",\n  ""term"": ""none""\n}']"
"""在校园学习日程里，以往常常是周一安排上课。上个月第二个星期周一上课。 ""","['{\n  ""month"": ""-1"",\n  ""week"": ""2"",\n  ""weekday"": ""1"",\n  ""day"": ""none"",\n  ""term"": ""none""\n}']"
"""身体有些不适去医院，前天检查，结果还未出来，心里有些忐忑。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""-2"",\n  ""term"": ""none""\n}']"
"""学校教学安排下，迎来本学期的第一周上课，大家都很有干劲。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""1"",\n  ""weekday"": ""none"",\n  ""day"": ""none"",\n  ""term"": ""0""\n}']"
"""为了检验学习成果，我们参加了考试，其中包括前天那场。 ""","['{\n  ""month"": ""none"",\n  ""week"": ""none"",\n  ""weekday"": ""none"",\n  ""day"": ""-2"",\n  ""term"": ""none""\n}']"
